"region","technology","year"
"Africa_Eastern","gas (steam/CT) (recirculating)",2100
"Africa_Eastern","gas (steam/CT) (cooling pond)",1975
"Africa_Eastern","gas (steam/CT) (cooling pond)",1990
"Africa_Eastern","gas (steam/CT) (cooling pond)",2005
"Africa_Eastern","gas (steam/CT) (cooling pond)",2010
"Africa_Eastern","gas (steam/CT) (cooling pond)",2015
"Africa_Eastern","gas (steam/CT) (cooling pond)",2020
"Africa_Eastern","gas (steam/CT) (cooling pond)",2025
"Africa_Eastern","gas (steam/CT) (cooling pond)",2030
"Africa_Eastern","gas (steam/CT) (cooling pond)",2035
"Africa_Eastern","gas (steam/CT) (cooling pond)",2040
"Africa_Eastern","gas (steam/CT) (cooling pond)",2045
"Africa_Eastern","gas (steam/CT) (cooling pond)",2050
"Africa_Eastern","gas (steam/CT) (cooling pond)",2055
"Africa_Eastern","gas (steam/CT) (cooling pond)",2060
"Africa_Eastern","gas (steam/CT) (cooling pond)",2065
"Africa_Eastern","gas (steam/CT) (cooling pond)",2070
"Africa_Eastern","gas (steam/CT) (cooling pond)",2075
"Africa_Eastern","gas (steam/CT) (cooling pond)",2080
"Africa_Eastern","gas (steam/CT) (cooling pond)",2085
"Africa_Eastern","gas (steam/CT) (cooling pond)",2090
"Africa_Eastern","gas (steam/CT) (cooling pond)",2095
"Africa_Eastern","gas (steam/CT) (cooling pond)",2100
"Africa_Eastern","gas (steam/CT) (dry cooling)",1975
"Africa_Eastern","gas (steam/CT) (dry cooling)",1990
"Africa_Eastern","gas (steam/CT) (dry cooling)",2005
"Africa_Eastern","gas (steam/CT) (dry cooling)",2010
"Africa_Eastern","gas (steam/CT) (dry cooling)",2015
"Africa_Eastern","gas (steam/CT) (dry cooling)",2020
"Africa_Eastern","gas (steam/CT) (dry cooling)",2025
"Africa_Eastern","gas (steam/CT) (dry cooling)",2030
"Africa_Eastern","gas (steam/CT) (dry cooling)",2035
"Africa_Eastern","gas (steam/CT) (dry cooling)",2040
"Africa_Eastern","gas (steam/CT) (dry cooling)",2045
"Africa_Eastern","gas (steam/CT) (dry cooling)",2050
"Africa_Eastern","gas (steam/CT) (dry cooling)",2055
"Africa_Eastern","gas (steam/CT) (dry cooling)",2060
"Africa_Eastern","gas (steam/CT) (dry cooling)",2065
"Africa_Eastern","gas (steam/CT) (dry cooling)",2070
"Africa_Eastern","gas (steam/CT) (dry cooling)",2075
"Africa_Eastern","gas (steam/CT) (dry cooling)",2080
"Africa_Eastern","gas (steam/CT) (dry cooling)",2085
"Africa_Eastern","gas (steam/CT) (dry cooling)",2090
